word,tf_idf,Avoiding_IN
worie,0.3084923252561215,Paranoid
dwell,0.22134854079931368,Paranoid
approach,0.20614015071650796,Paranoid
relationship,0.18384005891948807,Paranoid
tend,0.17195429003948617,Paranoid
emotion,0.1632526844947751,Paranoid
sex,0.16133293043871608,Paranoid
child,0.15831671526160457,Paranoid
longlaste,0.15424616262806076,Paranoid
conventional,0.15424616262806076,Paranoid
onthe,0.15424616262806076,Paranoid
advantageous,0.15424616262806076,Paranoid
lonliness,0.1457501882817008,Paranoid
codependent,0.1457501882817008,Paranoid
primary,0.13972219855192614,Paranoid
binge,0.13972219855192614,Paranoid
acquaint,0.13972219855192614,Paranoid
people,0.13965859352862203,Paranoid
meet,0.13630427217987146,Paranoid
internal,0.1350465264666836,Paranoid
overweight,0.127996204667271,Paranoid
beneficial,0.127996204667271,Paranoid
motive,0.127996204667271,Paranoid
appetite,0.1227302498592062,Paranoid
bogge,0.12052256239054897,Paranoid
tease,0.11852546615126298,Paranoid
appearance,0.11852546615126298,Paranoid
conflict,0.11067427039965684,Paranoid
guess,0.10440317324980898,Paranoid
basis,0.10400150207512833,Paranoid
attractive,0.10307007535825398,Paranoid
reason,0.10155136124205687,Paranoid
member,0.09821298524841772,Paranoid
work,0.09735059512120792,Paranoid
honest,0.09681555746601765,Paranoid
avoid,0.09615030632352219,Paranoid
opposite,0.09550552772876839,Paranoid
develop,0.09550552772876839,Paranoid
physical,0.0942726044297592,Paranoid
personality,0.09310821316550183,Paranoid
friend,0.09221070929910395,Paranoid
level,0.08765433197716223,Paranoid
confused,0.08679896215303716,Paranoid
new,0.08572710522513881,Paranoid
interest,0.08442431243886707,Paranoid
feel,0.08409883280844546,Paranoid
large,0.08405344167842221,Paranoid
follow,0.08130147293450057,Paranoid
hard,0.0787263192666376,Paranoid
lonely,0.07802545194864753,Paranoid
certain,0.07802545194864753,Paranoid
concentrate,0.077214241573842,Paranoid
weight,0.07695067016214503,Paranoid
find,0.0754591614121933,Paranoid
love,0.0737226405869422,Paranoid
group,0.0731303679010276,Paranoid
apartment,0.07165563325233099,Paranoid
self,0.06759932599166,Paranoid
consciousness,0.0659867111991998,Paranoid
way,0.06578668692018917,Paranoid
day,0.0651517156529612,Paranoid
bother,0.06507553934223682,Paranoid
question,0.06269027749770736,Paranoid
experience,0.0611563989216938,Paranoid
past,0.06066908274978848,Paranoid
girlfriend,0.05984263446365278,Paranoid
feeling,0.055753937761481895,Paranoid
worry,0.05519012838513334,Paranoid
grade,0.0536704345917224,Paranoid
happy,0.05055157526610218,Paranoid
time,0.04759640415663023,Paranoid
believe,0.04757787269698877,Paranoid
big,0.04732155572780701,Paranoid
eat,0.04657089691308522,Paranoid
live,0.04365039040194265,Paranoid
person,0.04354375581583966,Paranoid
girl,0.043332100976359464,Paranoid
mind,0.04118240578535738,Paranoid
leave,0.040712573300166796,Paranoid
read,0.04025304499413881,Paranoid
mean,0.04011712894387916,Paranoid
college,0.037850817211799004,Paranoid
try,0.03377538884599775,Paranoid
write,0.032861377548560645,Paranoid
think,0.022298731965023542,Paranoid
soup,0.19561905721348608,Schizoid
cut,0.19277745894161086,Schizoid
look,0.1793827092296017,Schizoid
think,0.168268855821535,Schizoid
song,0.15943125059894356,Schizoid
color,0.15187840506164177,Schizoid
see,0.15069355409860674,Schizoid
want,0.14993295803450452,Schizoid
chocoholic,0.1290894792654886,Schizoid
savvy,0.1290894792654886,Schizoid
clumpy,0.1290894792654886,Schizoid
ate,0.1290894792654886,Schizoid
finger,0.12565814130961445,Schizoid
dog,0.12526802165638304,Schizoid
discussing,0.12201100205173039,Schizoid
diabete,0.12201100205173039,Schizoid
cocker,0.12201100205173039,Schizoid
spaniel,0.12201100205173039,Schizoid
set,0.117322051927012,Schizoid
patch,0.11698874254299495,Schizoid
shampoo,0.11698874254299495,Schizoid
polish,0.11698874254299495,Schizoid
unattractive,0.11309317542318902,Schizoid
computer,0.11017384194240888,Schizoid
cautious,0.10991026532923671,Schizoid
sure,0.10951835130102718,Schizoid
loving,0.10721915318956647,Schizoid
bit,0.10561817615094655,Schizoid
brown,0.10488800582050127,Schizoid
calorie,0.10488800582050127,Schizoid
bowl,0.09780952860674304,Schizoid
image,0.09780952860674304,Schizoid
buy,0.09756286401254081,Schizoid
occasion,0.09641216920129823,Schizoid
blink,0.0951184164670728,Schizoid
network,0.0951184164670728,Schizoid
chocolate,0.0939139614869371,Schizoid
make,0.09319649107010063,Schizoid
outfit,0.0927872690980076,Schizoid
chip,0.09172890428303596,Schizoid
cookie,0.0907310513929848,Schizoid
thing,0.08912695940982567,Schizoid
bottle,0.08803993925331456,Schizoid
nail,0.08803993925331456,Schizoid
disgusting,0.08722780803888854,Schizoid
commercial,0.08645178370984788,Schizoid
pant,0.08645178370984788,Schizoid
good,0.08589591538717979,Schizoid
mall,0.08499613485839572,Schizoid
care,0.0833474738463276,Schizoid
download,0.08301767974457912,Schizoid
background,0.0806865323755139,Schizoid
