word,tf_idf,classification
rate,0.30767348772313624,Paranoid
town,0.28808546276758706,Paranoid
miss,0.24883078996848956,Paranoid
friend,0.20326963412663956,Paranoid
people,0.18886279979169465,Paranoid
new,0.1768473029283542,Paranoid
sure,0.17646787703730396,Paranoid
go,0.15847452107213314,Paranoid
break,0.15260734212431218,Paranoid
realize,0.14580028936600523,Paranoid
feel,0.14510719700289496,Paranoid
rambling,0.1435095803378056,Paranoid
stay,0.13789091646233917,Paranoid
call,0.1354236785752643,Paranoid
surround,0.13501539670840887,Paranoid
assume,0.1315618435452269,Paranoid
mom,0.12739436086435454,Paranoid
happen,0.12709560012596224,Paranoid
different,0.1262086140181076,Paranoid
regret,0.12084846083600893,Paranoid
list,0.11818699962473996,Paranoid
guy,0.11566112746966908,Paranoid
get,0.11486743054137585,Paranoid
leave,0.1102034360509472,Paranoid
typing,0.10468539872412977,Paranoid
consider,0.10284883280556585,Paranoid
child,0.10255394006313298,Paranoid
consciousness,0.09976181053986935,Paranoid
comfortable,0.09976181053986935,Paranoid
certain,0.0994970933287593,Paranoid
tell,0.0963200270728065,Paranoid
future,0.0919096694582829,Paranoid
stream,0.0919096694582829,Paranoid
movie,0.09053086507244737,Paranoid
visit,0.09014888759246063,Paranoid
date,0.08939997871335884,Paranoid
bother,0.0884907353930275,Paranoid
begin,0.08592531509298766,Paranoid
couple,0.08576223788459512,Paranoid
bed,0.08268281527042888,Paranoid
decide,0.08098339127988025,Paranoid
experience,0.08070976518142797,Paranoid
come,0.08057945314442151,Paranoid
hang,0.08017028182084374,Paranoid
class,0.08005550201041532,Paranoid
close,0.07395422426135836,Paranoid
learn,0.07363388059720963,Paranoid
spend,0.07331710298483245,Paranoid
writing,0.07208412045442693,Paranoid
sound,0.07109593453254755,Paranoid
thing,0.07103129642797187,Paranoid
reason,0.07080604854540778,Paranoid
hurt,0.07014091554525644,Paranoid
good,0.06992934932392543,Paranoid
watch,0.06867657218352963,Paranoid
happy,0.06832196454213336,Paranoid
feeling,0.06805887889338859,Paranoid
easy,0.06779820322337779,Paranoid
old,0.06661232767812317,Paranoid
hear,0.06587527336906825,Paranoid
sleep,0.06430266912536704,Paranoid
home,0.06392273163928677,Paranoid
parent,0.06288512573305068,Paranoid
roommate,0.06273993717837752,Paranoid
help,0.06078144198264304,Paranoid
meet,0.060713928558363425,Paranoid
weekend,0.057769693348018826,Paranoid
mean,0.0571085741841417,Paranoid
room,0.05663722767350487,Paranoid
assignment,0.055887559933751906,Paranoid
week,0.055887559933751906,Paranoid
fun,0.05537989125701507,Paranoid
night,0.055157135560000264,Paranoid
college,0.052258926768687645,Paranoid
today,0.0514684066301356,Paranoid
little,0.05065186585967656,Paranoid
year,0.04917565055644036,Paranoid
write,0.046722063621171525,Paranoid
talk,0.04615045684202865,Paranoid
way,0.045392625084859736,Paranoid
guess,0.04507947865133121,Paranoid
lot,0.044311364677736595,Paranoid
day,0.043526554866103816,Paranoid
like,0.04283467049064389,Paranoid
want,0.034531450005862045,Paranoid
time,0.03201286165619455,Paranoid
think,0.030927049332636975,Paranoid
upload,0.24192210015994375,Schizoid
amused,0.23204986150186388,Schizoid
polo,0.23204986150186388,Schizoid
ready,0.2306654183295415,Schizoid
server,0.2082634839450562,Schizoid
arrange,0.2082634839450562,Schizoid
swimming,0.20060598073392158,Schizoid
ache,0.1768196031771139,Schizoid
bag,0.17514529604791917,Schizoid
release,0.17056296748952074,Schizoid
wind,0.1652730573898393,Schizoid
text,0.1640688465015785,Schizoid
connect,0.1576155541787047,Schizoid
prepare,0.1576155541787047,Schizoid
wash,0.15390204389803272,Schizoid
responsibility,0.15218586185340166,Schizoid
clear,0.1427346896920651,Schizoid
thought,0.14087064085379142,Schizoid
assignment,0.13495033655226746,Schizoid
practice,0.13482392711046146,Schizoid
subject,0.13011566634122504,Schizoid
letter,0.12967850770400305,Schizoid
water,0.12716642389932684,Schizoid
conversation,0.12636833004604303,Schizoid
internet,0.1255883762692709,Schizoid
clock,0.12057499054210562,Schizoid
set,0.11285091798140123,Schizoid
guess,0.110811848419412,Schizoid
day,0.10769163030485514,Schizoid
stress,0.10699564931300583,Schizoid
bed,0.10419714420511707,Schizoid
sense,0.10029333867373028,Schizoid
point,0.09580338295426215,Schizoid
book,0.0946885961920231,Schizoid
finish,0.09140364329867605,Schizoid
feel,0.09101751060132533,Schizoid
word,0.08377463032491214,Schizoid
end,0.07909268924681019,Schizoid
tired,0.07791936165651675,Schizoid
time,0.07761288932277424,Schizoid
have,0.0756866075749008,Schizoid
take,0.06534473221735564,Schizoid
read,0.06494723948424062,Schizoid
mind,0.06378166177856502,Schizoid
today,0.06346479444003841,Schizoid
little,0.05936686726622373,Schizoid
minute,0.055405924209706,Schizoid
lot,0.054325773870492734,Schizoid
need,0.05226241268285982,Schizoid
class,0.05131971603657351,Schizoid
friend,0.0511871344591327,Schizoid
come,0.04929925156750293,Schizoid
get,0.04611213768372889,Schizoid
country,0.31996434966537424,Neuroticism
crash,0.2556413831589042,Neuroticism
remember,0.2340968487475716,Neuroticism
plane,0.20785242986375824,Neuroticism
pride,0.2057027038386106,Neuroticism
people,0.19099356237623258,Neuroticism
backyard,0.18606215157461653,Neuroticism
greek,0.16006347656861228,Neuroticism
twin,0.14522983559176825,Neuroticism
attack,0.14522983559176825,Neuroticism
lose,0.14093314474751184,Neuroticism
news,0.13448224059538152,Neuroticism
